英文術語,英文全名 / 展開,中文名稱,中文簡義,英文意義,所屬領域,初級基礎,中級重點,考試提示
Suppression,Suppression,抑制,抑制：屬於「隱私保護」的考試關鍵詞；詳細英文定義見英文意義欄。,Remove or mask high-risk values,隱私保護,L11203,L22404,Hide rare identifier
Differential Privacy,Differential Privacy,差分隱私,在統計輸出加入雜訊以保護個體；epsilon 越小隱私越強。,Adds noise to statistical outputs,隱私保護,L11203,L22404,epsilon smaller stronger privacy
Epsilon,Epsilon,ε 隱私預算,ε 隱私預算：屬於「隱私保護」的考試關鍵詞；詳細英文定義見英文意義欄。,Differential privacy privacy-loss parameter,隱私保護,L11203,L22404,Smaller epsilon stronger privacy
Federated Learning,Federated Learning,聯邦學習,資料不離本地，只傳模型更新或梯度。,Train without moving raw local data,隱私保護,L11203,L22404,Only model updates move
FedAvg,FedAvg,聯邦平均,聯邦平均：屬於「隱私保護」的考試關鍵詞；詳細英文定義見英文意義欄。,Average client model updates weighted by data size,隱私保護,L11203,L22404,Federated aggregation
Secure Aggregation,Secure Aggregation,安全聚合,安全聚合：屬於「隱私保護」的考試關鍵詞；詳細英文定義見英文意義欄。,Server sees only aggregated updates,隱私保護,L11203,L22404,Protect individual client updates
Horizontal FL,Horizontal FL,水平聯邦學習,水平聯邦學習：屬於「隱私保護」的考試關鍵詞；詳細英文定義見英文意義欄。,Same features different users across parties,隱私保護,L11203,L22404,Rows differ columns similar
Vertical FL,Vertical FL,垂直聯邦學習,垂直聯邦學習：屬於「隱私保護」的考試關鍵詞；詳細英文定義見英文意義欄。,Same users different features across parties,隱私保護,L11203,L22404,Rows same columns differ
Encryption at Rest,Encryption at Rest,靜態資料加密,靜態資料加密：屬於「資安與存取控制」的考試關鍵詞；詳細英文定義見英文意義欄。,Encrypt stored data,資安與存取控制,L11203,L22404,AES-256
Encryption in Transit,Encryption in Transit,傳輸中加密,傳輸中加密：屬於「資安與存取控制」的考試關鍵詞；詳細英文定義見英文意義欄。,Encrypt data moving over network,資安與存取控制,L11203,L22404,TLS 1.3
Homomorphic Encryption,Homomorphic Encryption,同態加密,同態加密：屬於「資安與存取控制」的考試關鍵詞；詳細英文定義見英文意義欄。,Compute on encrypted data,資安與存取控制,L11203,L22404,Encrypted computation
RBAC,Role-Based Access Control,角色型存取控制,依角色控制權限。,Access based on user role,資安與存取控制,L11203,L22404,Role-based
ABAC,Attribute-Based Access Control,屬性型存取控制,依使用者、資源、環境等屬性控制權限。,Access based on attributes/context,資安與存取控制,L11203,L22404,Attribute/context-based
Field-Level Security,Field-Level Security,欄位層級安全,欄位層級安全：屬於「資安與存取控制」的考試關鍵詞；詳細英文定義見英文意義欄。,Restrict access to specific columns/fields,資安與存取控制,L11203,L22404,Different roles see different fields
Data Minimization,Data Minimization,資料最小化,資料最小化：屬於「隱私保護」的考試關鍵詞；詳細英文定義見英文意義欄。,Collect only necessary data,隱私保護,L11203,L22404,Privacy principle
Privacy by Design,Privacy by Design,隱私設計,隱私設計：屬於「隱私保護」的考試關鍵詞；詳細英文定義見英文意義欄。,Build privacy into system design,隱私保護,L11203,L22404,GDPR Art.25 concept
Incident Notification,Incident Notification,事件通知,事件通知：屬於「隱私保護」的考試關鍵詞；詳細英文定義見英文意義欄。,Notify relevant parties after breach,隱私保護,L11203,L22404,Know law/jurisdiction distinction
Tableau,Tableau,Tableau,Tableau：屬於「資料視覺化」的考試關鍵詞；詳細英文定義見英文意義欄。,Drag-and-drop BI visualization tool,資料視覺化,L11202,L22303,Business users / Public is public
Power BI,Power BI,Power BI,Power BI：屬於「資料視覺化」的考試關鍵詞；詳細英文定義見英文意義欄。,Microsoft BI visualization tool,資料視覺化,L11202,L22303,Microsoft ecosystem
matplotlib,matplotlib,matplotlib,matplotlib：屬於「資料視覺化」的考試關鍵詞；詳細英文定義見英文意義欄。,Low-level static plotting library,資料視覺化,L11202,L22303,Precise control
seaborn,seaborn,seaborn,seaborn：屬於「資料視覺化」的考試關鍵詞；詳細英文定義見英文意義欄。,High-level statistical plotting library,資料視覺化,L11202,L22303,EDA
Plotly,Plotly,Plotly,Plotly：屬於「資料視覺化」的考試關鍵詞；詳細英文定義見英文意義欄。,Interactive plotting library,資料視覺化,L11202,L22303,Hover zoom dashboard
Bar Chart,Bar Chart,長條圖,長條圖：屬於「資料視覺化」的考試關鍵詞；詳細英文定義見英文意義欄。,Compares categories,資料視覺化,L11202,L22303,Categorical comparison
Histogram,Histogram,直方圖,直方圖：屬於「資料視覺化」的考試關鍵詞；詳細英文定義見英文意義欄。,Shows continuous distribution with bins,資料視覺化,L11202,L22303,Continuous distribution
Line Chart,Line Chart,折線圖,折線圖：屬於「資料視覺化」的考試關鍵詞；詳細英文定義見英文意義欄。,Shows trend over time,資料視覺化,L11202,L22303,Time trend
Scatter Plot,Scatter Plot,散佈圖,散佈圖：屬於「資料視覺化」的考試關鍵詞；詳細英文定義見英文意義欄。,Shows relationship between two continuous variables,資料視覺化,L11202,L22303,Two numeric variables
Heatmap,Heatmap,熱力圖,熱力圖：屬於「資料視覺化」的考試關鍵詞；詳細英文定義見英文意義欄。,Shows matrix values such as correlation,資料視覺化,L11202,L22303,2D matrix/correlation
Boxplot,Boxplot,箱型圖,箱型圖：屬於「資料視覺化」的考試關鍵詞；詳細英文定義見英文意義欄。,Shows median IQR outliers,資料視覺化,L11202,L22303,Distribution and outliers
Violin Plot,Violin Plot,小提琴圖,小提琴圖：屬於「資料視覺化」的考試關鍵詞；詳細英文定義見英文意義欄。,Shows distribution shape and density,資料視覺化,L11202,L22303,Bimodal/shape
Data-Ink Ratio,Data-Ink Ratio,資料墨水比,資料墨水比：屬於「資料視覺化」的考試關鍵詞；詳細英文定義見英文意義欄。,Share of ink that represents data,資料視覺化,L11202,L22303,Maximize remove decoration
Chart Junk,Chart Junk,圖表垃圾,圖表垃圾：屬於「資料視覺化」的考試關鍵詞；詳細英文定義見英文意義欄。,Decorative elements that hinder reading,資料視覺化,L11202,L22303,Remove unnecessary decoration
Pre-attentive Attribute,Pre-attentive Attribute,前注意屬性,前注意屬性：屬於「資料視覺化」的考試關鍵詞；詳細英文定義見英文意義欄。,Visual features noticed quickly,資料視覺化,L11202,L22303,Position > color > size > shape
Viridis,Viridis,Viridis 色盤,Viridis 色盤：屬於「資料視覺化」的考試關鍵詞；詳細英文定義見英文意義欄。,Colorblind-friendly sequential colormap,資料視覺化,L11202,L22303,Accessible color
